Location,Age,year,Female,Male
More developed regions,60-64,2035,0.03229235003435439,0.030320369241757857
More developed regions,60-64,2040,0.03181186157610595,0.029904843282712548
More developed regions,60-64,2045,0.032392370572207084,0.03083923705722071
More developed regions,60-64,2050,0.03264604542506895,0.03155612504004188
More developed regions,60-64,2055,0.030647335077477852,0.03017322918702614
More developed regions,60-64,2060,0.028564438867713093,0.028245618188561913
More developed regions,60-64,2065,0.02845005292331911,0.02816044255637881
More developed regions,60-64,2070,0.02993144017100491,0.029656371663000416
More developed regions,60-64,2075,0.03005762117936523,0.02981429796048719
More developed regions,60-64,2080,0.029414479307535806,0.029229083817220912
More developed regions,60-64,2085,0.028759160818024775,0.02867716863300539
More developed regions,60-64,2090,0.028256216938770423,0.028264259810493856
More developed regions,60-64,2095,0.028054217138740036,0.02813221699721452
More developed regions,60-64,2100,0.028225576369628795,0.028358985033316002
More developed regions,65-69,1950,0.017488525073022263,0.013485186912446922
More developed regions,65-69,1955,0.01813217958654836,0.01355922399731615
More developed regions,65-69,1960,0.018587977235648145,0.013491643431240418
More developed regions,65-69,1965,0.019988123613731916,0.014416153540570067
More developed regions,65-69,1970,0.022051597843429492,0.01616039617116514
More developed regions,65-69,1975,0.023489766447224093,0.01699710228974432
More developed regions,65-69,1980,0.024050756790992,0.017144819716265698
More developed regions,65-69,1985,0.01988585904435207,0.014329516076077225
More developed regions,65-69,1990,0.02484482894082112,0.01779556704000838
More developed regions,65-69,1995,0.025660977528474193,0.020172213291377365
More developed regions,65-69,2000,0.023902669306717403,0.01965564336089791
More developed regions,65-69,2005,0.02568941477687159,0.021206337339792627
More developed regions,65-69,2010,0.024172152177575058,0.02059253236235471
More developed regions,65-69,2015,0.0287732399398704,0.024905719235504158
More developed regions,65-69,2020,0.03085354188231266,0.026375435284212906
More developed regions,65-69,2025,0.03202336008839627,0.027836866427052007
More developed regions,65-69,2030,0.03255422983371799,0.02897960199314468
More developed regions,65-69,2035,0.03111149066996883,0.02824202570562364
More developed regions,65-69,2040,0.0313411271216064,0.02855555987105294
More developed regions,65-69,2045,0.030972362787076685,0.028295056442195408
More developed regions,65-69,2050,0.031628786399043686,0.029310654655405458
More developed regions,65-69,2055,0.031957405824437964,0.030126132575391863
More developed regions,65-69,2060,0.030098566096103917,0.029007157682078965
More developed regions,65-69,2065,0.028123150262553617,0.02729240490861801
More developed regions,65-69,2070,0.02803705531587831,0.02726207969332652
More developed regions,65-69,2075,0.029504541099612844,0.02873375077139063
More developed regions,65-69,2080,0.029630372757296436,0.02890484235363989
More developed regions,65-69,2085,0.029001921993278248,0.028371707551560627
More developed regions,65-69,2090,0.028365599994209133,0.02788141911645837
More developed regions,65-69,2095,0.027886155588006355,0.02752510469671725
More developed regions,65-69,2100,0.027710426047800486,0.02744119772047992
More developed regions,70-74,1950,0.0127537370216735,0.009553030117081073
More developed regions,70-74,1955,0.01368763231262219,0.009743993151556517
More developed regions,70-74,1960,0.014430154581516787,0.009891471007098855
More developed regions,70-74,1965,0.015173428344423479,0.010017338696328665
More developed regions,70-74,1970,0.016584808612796036,0.010752112393934076
More developed regions,70-74,1975,0.018438326844166523,0.012144057595568162
More developed regions,70-74,1980,0.020135238190201323,0.013126819963697668
More developed regions,70-74,1985,0.020766764564992348,0.01341990487655661
More developed regions,70-74,1990,0.017352096446124433,0.011481348918822184
More developed regions,70-74,1995,0.02186441837397818,0.014430345110647468
More developed regions,70-74,2000,0.02289539963024704,0.01652780594448993
More developed regions,70-74,2005,0.021567729119907644,0.01646772200784973
More developed regions,70-74,2010,0.023296684073445376,0.01803415702382958
More developed regions,70-74,2015,0.022301906942358823,0.01793701989226647
More developed regions,70-74,2020,0.026567847791497096,0.021830573326443132
