sex,year,age,pop,pcnt
Female,2040,35-39,289133,0.031431432345503225
Female,2040,40-44,281547,0.03060676395492523
Female,2040,45-49,279100,0.030340752413698713
Female,2040,50-54,283393,0.03080744123531107
Female,2040,55-59,251746,0.027367119516800417
Female,2040,60-64,222746,0.024214551190045626
Female,2040,65-69,207487,0.022555756703909368
Female,2040,70-74,179964,0.01956375194331378
Female,2040,75-79,138204,0.015024053552786876
Female,2040,80-84,93663,0.010182034730649454
Female,2040,85-89,55984,0.0060859788001738045
Female,2040,90-94,23556,0.0025607551553460655
Female,2040,95-99,6751,7.338961646179864e-4
Female,2040,100+,1426,1.5501939427421845e-4
Female,2045,0-4,336597,0.03549926480219688
Female,2045,5-9,332739,0.03509238011930643
Female,2045,10-14,329212,0.03472040441257896
Female,2045,15-19,325552,0.034334401836275424
Female,2045,20-24,323133,0.034079281554286835
Female,2045,25-29,321547,0.033912013771221966
Female,2045,30-34,315142,0.03323650926269078
Female,2045,35-39,302386,0.03189119536560667
Female,2045,40-44,286636,0.03023011870528408
Female,2045,45-49,278366,0.029357921627133746
Female,2045,50-54,274712,0.028972551841938907
Female,2045,55-59,277061,0.02922028956099273
Female,2045,60-64,243080,0.02563647711690246
Female,2045,65-69,210753,0.02222710408844226
Female,2045,70-74,190098,0.02004872069676207
Female,2045,75-79,156110,0.016464169996378324
Female,2045,80-84,109335,0.011531035978182206
Female,2045,85-89,63696,0.006717710409898878
Female,2045,90-94,30295,0.003195067772982393
Female,2045,95-99,9160,9.660610926066585e-4
Female,2045,100+,1744,1.8393128226048172e-4
Female,2050,0-4,336974,0.03461458259502025
Female,2050,5-9,335017,0.03441355599315051
Female,2050,10-14,331879,0.03409121492178247
Female,2050,15-19,328376,0.033731380386090234
Female,2050,20-24,324504,0.03333364149879353
Female,2050,25-29,322028,0.03307930227230938
Female,2050,30-34,320204,0.032891937672508455
Female,2050,35-39,313285,0.03218120539946975
Female,2050,40-44,299907,0.030806992890622834
Female,2050,45-49,283501,0.02912173871061517
Female,2050,50-54,274099,0.02815594815835185
Female,2050,55-59,268664,0.027597655066291527
Female,2050,60-64,268064,0.02753602197425175
Female,2050,65-69,230489,0.023676249585260652
Female,2050,70-74,193488,0.01987543952098761
Female,2050,75-79,165721,0.017023162743206748
Female,2050,80-84,124555,0.01279451629835758
Female,2050,85-89,75349,0.0077399864201753875
Female,2050,90-94,35090,0.00360450866612635
